Year,Number of Imported Workers Approved
2017,18
2018,24
2019,9
2020,16
2021,9
2022,19
2023,3810
2024,3831
2025,2206

Source: https://gia.info.gov.hk/general/202205/25/P2022052500266_393513_1_1653451727226.pdf
https://gia.info.gov.hk/general/202507/02/P2025070200417_500857_1_1751450748502.pdf
