Year,Number of Imported Workers Approved
2017,2765
2018,3225
2019,3378
2020,3123
2021,3043
2022,5829
2023,14655
2024,53762
2025,62328

Source: https://hklabourrights.org/wp-content/uploads/2025/03/%E9%97%9C%E6%96%BC%E9%A6%99%E6%B8%AF%E8%BC%B8%E5%85%A5%E5%A4%96%E5%8B%9E%E6%94%BF%E7%AD%96%E5%A0%B1%E5%91%8A%E6%9B%B8.pdf
https://gia.info.gov.hk/general/202507/02/P2025070200417_500857_1_1751450748502.pdf
