Year,Number of Imported Workers Approved
2017,210
2018,197
2019,270
2020,228
2021,248
2022,302
2023,16850
2024,16850
2025,16850

Source: https://gia.info.gov.hk/general/202205/25/P2022052500266_393513_1_1653451727226.pdf
https://gia.info.gov.hk/general/202507/02/P2025070200417_500857_1_1751450748502.pdf
