Year,Number of Imported Workers Approved
2017,77
2018,589
2019,172
2020,218
2021,6
2022,173
2023,6349
2024,3614
2025,1008

Source: https://gia.info.gov.hk/general/202205/25/P2022052500266_393513_1_1653451727226.pdf
https://gia.info.gov.hk/general/202507/02/P2025070200417_500857_1_1751450748502.pdf
