Year,Quarter,Industry of main employment,Overall(1000 persons)
2022,Q2,Retail,258.5
2022,Q2,Accommodation and food services,255.4
2022,Q2,"Transportation, storage, postal and courier services, information and communications",405.7
2022,Q2,"Public administration, social and personal services",1081.3
2022,Q3,Construction,338.3
2022,Q3,"Retail, accommodation and food services",518.3
2022,Q3,Retail,260.3
2022,Q3,Accommodation and food services,258.0
2022,Q3,"Transportation, storage, postal and courier services, information and communications",412.5
2022,Q3,"Public administration, social and personal services",1118.7
2022,Q4,Construction,343.0
2022,Q4,"Retail, accommodation and food services",531.3
2022,Q4,Retail,264.9
2022,Q4,Accommodation and food services,266.4
2022,Q4,"Transportation, storage, postal and courier services, information and communications",418.1
2022,Q4,"Public administration, social and personal services",1130.7
2023,Q1,Construction,338.1
2023,Q1,"Retail, accommodation and food services",533.6
2023,Q1,Retail,267.8
2023,Q1,Accommodation and food services,265.8
2023,Q1,"Transportation, storage, postal and courier services, information and communications",421.1
2023,Q1,"Public administration, social and personal services",1113.8
2023,Q2,Construction,340.3
2023,Q2,"Retail, accommodation and food services",533.5
2023,Q2,Retail,267.6
2023,Q2,Accommodation and food services,265.8
2023,Q2,"Transportation, storage, postal and courier services, information and communications",424.1
2023,Q2,"Public administration, social and personal services",1124.2
2023,Q3,Construction,344.0
2023,Q3,"Retail, accommodation and food services",537.6
2023,Q3,Retail,269.5
2023,Q3,Accommodation and food services,268.1
2023,Q3,"Transportation, storage, postal and courier services, information and communications",422.6
2023,Q3,"Public administration, social and personal services",1142.1
2023,Q4,Construction,351.2
2023,Q4,"Retail, accommodation and food services",532.5
2023,Q4,Retail,263.2
2023,Q4,Accommodation and food services,269.2
2023,Q4,"Transportation, storage, postal and courier services, information and communications",421.6
2023,Q4,"Public administration, social and personal services",1142.5
2024,Q1,Construction,350.7
2024,Q1,"Retail, accommodation and food services",523.3
2024,Q1,Retail,256.8
2024,Q1,Accommodation and food services,266.6
2024,Q1,"Transportation, storage, postal and courier services, information and communications",420.1
2024,Q1,"Public administration, social and personal services",1139.4
2024,Q2,Construction,350.8
2024,Q2,"Retail, accommodation and food services",513.3
2024,Q2,Retail,251.6
2024,Q2,Accommodation and food services,261.7
2024,Q2,"Transportation, storage, postal and courier services, information and communications",420.8
2024,Q2,"Public administration, social and personal services",1151.3
2024,Q3,Construction,352.6
2024,Q3,"Retail, accommodation and food services",508.2
2024,Q3,Retail,247.0
2024,Q3,Accommodation and food services,261.3
2024,Q3,"Transportation, storage, postal and courier services, information and communications",419.6
2024,Q3,"Public administration, social and personal services",1153.3
2024,Q4,Construction,350.9
2024,Q4,"Retail, accommodation and food services",505.0
2024,Q4,Retail,244.2
2024,Q4,Accommodation and food services,260.8
2024,Q4,"Transportation, storage, postal and courier services, information and communications",416.8
2024,Q4,"Public administration, social and personal services",1152.9
2025,Q1,Construction,345.3
2025,Q1,"Retail, accommodation and food services",498.4
2025,Q1,Retail,238.8
2025,Q1,Accommodation and food services,259.6
2025,Q1,"Transportation, storage, postal and courier services, information and communications",420.2
2025,Q1,"Public administration, social and personal services",1161.3
2025,Q2,Construction,335.2
2025,Q2,"Retail, accommodation and food services",490.5
2025,Q2,Retail,235.4
2025,Q2,Accommodation and food services,255.1
2025,Q2,"Transportation, storage, postal and courier services, information and communications",417.9
2025,Q2,"Public administration, social and personal services",1157.7
2025,Q3,Construction,332.7
2025,Q3,"Retail, accommodation and food services",489.6
2025,Q3,Retail,235.8
2025,Q3,Accommodation and food services,253.8
2025,Q3,"Transportation, storage, postal and courier services, information and communications",416.8
2025,Q3,"Public administration, social and personal services",1170.3
2025,Q4,Construction,333.1
2025,Q4,"Retail, accommodation and food services",489.8
2025,Q4,Retail,233.8
2025,Q4,Accommodation and food services,256.0
2025,Q4,"Transportation, storage, postal and courier services, information and communications",410.3
2025,Q4,"Public administration, social and personal services",1174.3

Source: https://www.censtatd.gov.hk/en/web_table.html?id=210-06308#
